Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
18 HW 27 100 7320
18 SW 114 1354 0
33 HW 68 173 17061
33 SW 142 1859 0
48 HW 94 205 28455
48 SW 152 2093 0
63 HW 100 213 40115
63 SW 166 2154 0
78 HW 100 217 51990
78 SW 157 2180 0
93 HW 99 231 63637
93 SW 151 2210 0
108 HW 100 250 74813
108 SW 125 2336 0
123 SW 85 2370 0
123 HW 100 275 75381
138 SW 62 2393 0
138 HW 73 306 75388
153 HW 31 320 75388
153 SW 26 2407 0
Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
19 SW 2 2 0
19 HW 2 2 0
Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
18 HW 5 5 55
18 SW 14 16 0
33 HW 2 5 55
33 SW 12 16 0
48 HW 2 5 55
48 SW 12 18 0
63 HW 2 5 55
63 SW 14 20 0
78 HW 2 5 55
78 SW 14 22 0
93 HW 2 5 55
93 SW 12 22 0
108 HW 2 5 55
108 SW 14 24 0
Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
21 SW 16 16 0
21 HW 3 3 55
36 HW 2 3 55
36 SW 12 16 0
51 SW 12 16 0
51 HW 2 3 55
Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
15 HW 3 3 16
15 SW 8 8 0
Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
19 HW 4 4 2
19 SW 8 8 0
34 HW 4 4 11
34 SW 4 8 0
49 HW 4 4 11
49 SW 8 12 0
64 HW 4 4 11
64 SW 6 14 0
79 HW 2 4 11
79 SW 2 16 0
94 HW 2 4 11
94 SW 2 16 0
Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
19 SW 8 8 0
19 HW 4 4 7
34 SW 4 8 0
34 HW 4 4 22
49 HW 4 6 23
50 SW 4 8 0
65 SW 6 12 0
65 HW 4 6 30
80 HW 4 8 37
80 SW 4 12 0
95 SW 8 16 0
95 HW 4 8 37
110 HW 2 8 37
110 SW 2 16 0
125 SW 2 16 0
125 HW 2 8 37
140 SW 2 16 0
140 HW 2 8 37
155 SW 2 16 0
155 HW 2 8 37
170 SW 2 16 0
170 HW 2 8 37
185 SW 2 16 0
185 HW 2 8 37
200 SW 2 16 0
200 HW 2 8 37
215 HW 2 8 37
215 SW 2 16 0
