Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
11 SW 2 2 0 0
11 HW 89 90 0 0
21 SW 81 91 0 0
21 HW 201 202 3 1512
31 HW 157 240 85 72031920
31 SW 197 290 0 119448
41 HW 170 315 125 105202176
41 SW 235 447 0 337176
51 HW 202 411 149 196496736
51 SW 283 615 0 20466432
61 HW 200 482 222 272833080
61 SW 347 815 0 36348480
71 HW 189 563 257 402012492
71 SW 363 1006 0 74729088
81 HW 197 662 333 521097792
81 SW 392 1196 0 147612024
91 SW 402 1394 0 224070840
91 HW 198 732 431 578576472
101 HW 196 833 471 772833816
101 SW 376 1589 0 369296928
111 HW 200 917 559 860838264
111 SW 382 1784 0 540921024
121 HW 184 1000 621 962739504
121 SW 409 1984 0 716527728
131 HW 184 1109 672 1093368864
131 SW 385 2163 0 1065530592
141 HW 202 1182 772 1136905572
141 SW 391 2346 0 1318773960
151 HW 199 1275 856 1268381532
151 SW 401 2546 0 1560485304
161 HW 186 1364 926 1372189404
161 SW 368 2743 0 1839810672
171 SW 373 2925 0 2079712152
171 HW 194 1448 1002 1433844228
181 HW 198 1514 1070 1512592452
181 SW 385 3119 0 2308625928
191 HW 197 1602 1140 1624335300
191 SW 376 3316 0 2586446856
201 HW 192 1713 1178 1807567020
201 SW 377 3513 0 2681589456
211 HW 176 1790 1240 1887024132
211 SW 366 3703 0 2959641720
221 HW 198 1868 1336 1914595632
221 SW 381 3878 0 3093366024
231 HW 182 1981 1374 2120561904
231 SW 351 4075 0 3328394328
241 HW 200 2074 1447 2161484184
241 SW 365 4256 0 3550779288
251 HW 188 2138 1559 2233760808
251 SW 359 4455 0 3716813520
261 HW 160 2205 1559 2337216624
261 SW 304 4571 0 3839279472
271 HW 122 2257 1559 2411980488
271 SW 262 4621 0 4008330144
281 HW 114 2299 1559 2426208588
281 SW 213 4659 0 4165983360
291 HW 90 2326 1559 2449981764
291 SW 155 4685 0 4412081016
301 HW 87 2362 1559 2477631948
301 SW 128 4715 0 4544879976
311 HW 79 2392 1559 2545126116
311 SW 104 4738 0 4725373464
321 HW 64 2416 1559 2620662612
321 SW 70 4762 0 4865925960
331 HW 44 2428 1559 2669774004
331 SW 36 4767 0 4992607368
341 HW 27 2438 1559 2725663692
341 SW 16 4776 0 5109909840
351 HW 17 2446 1559 2796236412
351 SW 8 4781 0 5171030928
361 HW 5 2446 1559 2818603548
361 SW 3 4781 0 5176164168
371 HW 2 2446 1559 2827231020
371 SW 2 4781 0 5179452768
Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
13 SW 2 2 0 0
13 HW 94 94 0 0
24 SW 86 96 0 0
24 HW 200 201 12 1512
34 HW 164 236 93 67387056
34 SW 187 296 0 66528
44 HW 145 325 127 177121968
44 SW 199 460 0 624456
54 HW 200 431 132 201804096
54 SW 261 605 0 9948960
64 HW 165 494 217 281525808
64 SW 333 805 0 40872384
