Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
17 HW 35 35 0 16136064
17 SW 42 42 0 19509336
27 HW 69 69 0 79712640
27 SW 74 77 0 86250528
37 HW 104 108 0 210066696
37 SW 114 123 0 231497967
47 HW 136 152 0 434944944
47 SW 143 169 0 492342159
57 HW 170 200 0 785204280
57 SW 158 212 0 902782119
67 HW 198 252 0 1287581400
67 SW 200 269 0 1488349662
77 HW 213 295 0 1918851984
77 SW 205 309 0 2232447198
87 HW 224 355 0 2646423360
87 SW 231 373 0 3113702790
97 HW 249 407 18 3527034840
97 SW 248 431 0 4163773182
107 HW 241 456 42 4510436616
107 SW 262 489 0 5371407582
117 HW 233 511 56 5507907552
117 SW 261 552 0 6625774878
127 HW 246 582 70 6592294296
128 SW 273 635 0 7891957125
138 HW 220 630 88 7634511360
138 SW 286 711 0 9184945620
148 HW 246 689 88 8750893536
148 SW 279 776 0 10441215012
158 HW 235 726 130 9926116704
158 SW 275 847 0 11590403052
168 HW 238 788 148 11005081416
168 SW 264 917 0 12754079076
178 HW 248 841 178 12156067224
178 SW 284 992 0 13933405812
188 HW 248 897 188 13253670360
188 SW 271 1057 0 15159249228
198 HW 236 960 188 14245577136
198 SW 248 1116 0 16356361620
208 HW 244 1026 188 15094462320
208 SW 276 1188 0 17593377204
218 HW 238 1081 188 15871530528
218 SW 276 1258 0 18809011596
228 HW 243 1142 200 16689070440
229 SW 259 1324 0 19912063980
238 HW 243 1193 232 17595983160
239 SW 273 1393 0 20944214148
249 HW 247 1235 258 18576498528
249 SW 284 1465 0 22059752628
259 HW 251 1289 284 19597541544
259 SW 294 1534 0 23185229667
269 HW 247 1333 316 20621646360
269 SW 296 1600 0 24347590251
279 HW 250 1385 354 21684961872
279 SW 305 1678 0 25541095011
289 HW 250 1438 396 22737672216
289 SW 295 1752 0 26660643315
299 HW 239 1495 422 23827036464
299 SW 289 1831 0 27746374227
309 HW 202 1542 422 24758830656
309 SW 258 1889 0 28788775755
319 HW 212 1600 422 25639463304
320 SW 255 1954 0 29767423803
329 HW 209 1659 422 26511823800
330 SW 250 2015 0 30591887163
339 HW 222 1725 422 27387156888
340 SW 253 2089 0 31422843051
349 HW 224 1784 422 28273008960
350 SW 250 2147 0 32306771859
360 HW 224 1844 422 29092782096
360 SW 262 2217 0 33237113019
370 HW 244 1900 440 29996315496
370 SW 285 2297 0 34164454371
380 HW 246 1960 460 30995895672
380 SW 282 2368 0 35141721963
390 HW 244 1997 464 32063945256
390 SW 267 2418 0 36093976539
400 HW 216 2025 464 33078861648
400 SW 218 2449 0 36990618243
410 HW 168 2049 464 33995826144
410 SW 178 2479 0 37753965051
420 HW 159 2082 464 34805187648
421 SW 132 2501 0 38361335451
430 HW 118 2101 464 35430352776
431 SW 118 2523 0 38960693763
440 HW 92 2115 464 35928245304
441 SW 83 2536 0 39458932539
450 HW 66 2129 464 36291616704
451 SW 68 2553 0 39843942171
460 HW 47 2140 464 36533250936
461 SW 41 2562 0 40098771627
470 HW 29 2146 464 36610948080
471 SW 30 2569 0 40254453195
480 HW 10 2149 464 36631969416
481 SW 12 2573 0 40271420859
490 HW 4 2149 464 36640596888
491 SW 2 2573 0 40271420859
500 HW 2 2149 464 36640596888
501 SW 2 2573 0 40271420859
