Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
17 HW 2 2 0 0
17 SW 204 767 0 60741576
32 HW 100 100 0 128102688
33 SW 179 1034 0 60741576
47 HW 99 100 1 385621992
48 SW 214 1194 0 60741576
62 HW 97 101 1 759896424
63 SW 238 1266 0 60741576
77 HW 94 104 1 1238592600
78 SW 244 1314 0 60753672
92 HW 85 111 1 1773261504
93 SW 243 1366 0 60777864
107 HW 75 126 1 2313688104
108 SW 223 1430 0 60817176
123 HW 67 151 1 2815930656
123 SW 184 1488 0 60868584
138 HW 59 184 1 3225229056
138 SW 133 1542 0 60932088
153 HW 55 225 1 3556748664
153 SW 73 1566 0 191565864
168 SW 39 1581 0 751742208
168 HW 52 305 1 3601293696
183 SW 17 1589 0 962843112
183 HW 35 318 1 3631769568
198 SW 7 1594 0 962850672
198 HW 16 323 1 3641035104
213 SW 7 1599 0 962855208
213 HW 10 326 1 3645828144
